personnel_id,service_years,deployment_days,working_hours_week,night_shifts,consecutive_duty_days,leave_days,transfers_last_year,training_hours,workload_score,sleep_score,wellness_stress,mood_score,social_support,stress_risk,risk_week_1,risk_week_2,risk_week_3,risk_week_4,risk_week_5
P0063,10,81,60,2,3,2,0,2,34,49,17,57,90,0,32,47,61,75,90
P0064,25,59,52,11,7,13,0,19,35,66,34,75,64,0,37,31,35,28,26
P0065,11,38,54,13,6,6,1,12,44,63,26,64,46,0,26,23,22,12,10
P0066,9,44,53,1,6,3,1,12,61,46,78,75,53,1,46,35,31,37,34
P0067,23,39,56,5,3,0,1,0,62,70,28,64,83,0,22,25,27,24,29
P0068,10,33,70,6,3,4,1,13,35,67,22,55,64,0,38,29,28,28,29
P0069,2,12,59,13,7,1,2,18,42,86,53,64,63,0,28,31,19,18,15
P0070,12,34,36,4,9,5,1,10,43,98,82,93,85,0,38,31,26,32,30
P0071,20,20,54,4,6,10,2,20,55,75,46,75,51,0,36,46,34,34,38
P0072,5,8,60,12,3,5,1,20,94,58,47,47,29,1,48,42,42,43,38
P0073,12,50,61,5,6,8,0,8,41,78,74,86,53,1,41,36,30,25,24
P0074,4,47,46,9,11,4,1,23,40,68,66,54,71,1,30,31,27,25,16
P0075,18,0,60,0,5,7,0,12,38,64,57,80,63,0,47,35,31,30,31
P0076,12,35,58,5,9,15,0,12,69,55,36,77,40,1,49,47,46,37,21
P0077,9,62,73,0,3,6,1,13,57,61,57,78,84,0,35,38,27,28,27
P0078,6,63,43,2,5,9,2,12,42,65,21,98,70,1,36,31,36,49,48
P0079,15,63,45,9,7,1,2,0,51,80,36,55,74,0,34,34,26,32,24
P0080,17,39,47,6,6,13,2,11,44,76,77,78,74,1,36,29,20,10,1
P0081,24,18,46,5,3,5,0,2,63,95,74,88,45,0,39,42,48,55,52
P0082,11,12,42,3,3,11,1,23,100,78,57,58,72,0,34,39,36,36,39
P0083,5,46,30,5,7,7,1,23,68,74,9,56,82,0,38,36,27,19,14
P0084,21,47,46,7,8,9,1,18,56,63,24,63,86,0,39,44,39,41,32
P0085,16,69,53,10,9,10,1,10,46,52,34,73,79,1,45,31,29,23,24
P0086,18,64,46,0,10,5,0,5,34,59,45,45,76,0,37,27,41,32,41
P0087,3,35,67,3,5,11,0,7,71,58,23,77,37,0,48,47,31,41,40
P0088,8,8,50,7,4,4,1,26,70,30,43,45,67,0,43,48,42,39,38
P0089,20,30,62,6,8,10,1,7,50,53,83,89,51,1,39,30,39,45,36
P0090,21,43,52,8,7,5,1,0,80,92,56,76,89,0,40,39,37,20,21
P0091,11,33,57,7,3,8,0,19,58,74,52,99,86,0,31,37,37,49,57
P0092,21,24,53,5,2,5,2,23,72,62,28,79,51,0,29,33,41,47,50
P0093,22,44,62,4,6,7,0,24,63,74,15,63,66,0,39,32,21,29,27
P0094,10,26,51,5,5,3,0,19,55,39,23,55,71,1,34,34,24,28,33
P0095,23,23,54,11,5,8,1,20,41,72,14,72,82,0,41,50,55,53,60
P0096,8,45,53,3,8,7,0,12,55,87,50,68,39,1,33,25,33,36,27
P0097,6,28,47,6,7,5,2,0,73,66,56,87,29,1,38,51,55,57,63
P0098,18,44,54,7,8,7,0,12,49,41,29,53,68,0,36,46,58,75,78
P0099,16,45,70,12,1,8,1,16,66,62,51,100,24,1,43,45,42,43,37
P0100,4,11,48,5,6,5,0,11,39,87,77,88,70,0,26,24,27,30,25
P0101,21,26,54,10,7,6,0,11,72,72,87,65,77,1,36,33,30,22,25
P0102,5,73,61,11,1,3,2,5,64,47,63,97,88,1,37,29,23,7,0
P0103,21,10,60,6,3,16,0,5,36,100,45,55,56,0,37,45,46,44,57
P0104,1,0,50,5,3,11,1,25,54,49,63,71,70,0,28,38,35,25,28
P0105,20,0,30,5,5,8,1,25,75,64,75,48,78,1,38,36,38,47,50
P0106,20,39,55,5,9,12,2,12,35,52,8,98,47,0,32,34,39,38,46
P0107,20,39,30,9,10,0,0,14,39,52,78,42,83,1,48,37,42,29,29
P0108,17,35,63,7,3,0,1,5,57,61,37,45,72,1,37,29,35,27,29
P0109,12,67,52,7,6,5,0,16,96,78,37,58,57,1,50,44,48,65,72
P0110,18,0,59,1,6,1,0,24,46,87,41,89,69,0,27,32,29,29,38
P0111,7,48,42,2,6,6,1,1,67,62,54,83,65,1,34,35,27,18,20
P0112,20,75,36,15,6,8,1,15,63,53,26,70,80,0,40,43,33,32,21
P0113,14,11,52,5,6,11,1,16,47,75,42,84,61,0,40,30,32,28,26
P0114,12,29,50,3,9,2,1,16,61,76,59,66,71,1,42,47,58,64,62
P0115,13,20,46,12,8,9,1,23,50,72,52,75,56,0,30,34,28,35,41
P0116,15,17,51,7,2,7,0,26,52,72,56,94,51,0,45,47,43,45,49
P0117,1,30,75,8,7,8,1,10,28,66,42,64,70,0,35,45,45,65,68
P0118,4,72,58,5,7,5,0,17,58,69,62,56,52,1,33,43,50,48,56
P0119,7,82,59,5,6,13,1,13,74,65,69,76,81,0,36,38,42,37,40
P0120,3,30,58,5,8,7,0,8,59,84,68,80,77,1,44,50,76,72,92
P0121,11,84,63,0,5,14,0,14,78,100,57,70,54,1,30,27,31,26,22
P0122,17,39,48,6,6,4,0,17,68,71,67,84,71,0,43,47,54,67,67
P0123,17,80,32,7,5,10,1,14,57,68,65,65,54,0,44,35,36,30,33
P0124,12,36,48,13,1,7,1,6,47,72,100,70,40,1,26,33,39,39,45
P0125,22,41,57,6,5,6,0,9,49,58,72,74,57,1,26,33,29,24,22
P0126,15,47,41,0,3,10,2,9,32,79,46,73,66,0,28,42,43,45,43
P0127,2,114,48,6,2,6,0,6,53,75,30,94,76,0,40,52,46,65,75
P0128,20,58,44,17,9,0,0,14,61,62,43,74,70,0,37,43,46,46,49
P0129,15,21,64,9,6,0,0,15,89,82,41,63,82,1,40,37,41,42,50
P0130,16,61,57,3,5,12,1,19,68,68,58,76,50,0,29,24,30,28,16
P0131,15,29,56,8,4,12,0,6,42,53,34,84,61,0,41,38,38,39,43
P0132,14,26,56,3,6,15,0,8,32,73,72,80,95,1,35,34,25,25,22
P0133,3,60,50,1,7,7,0,23,54,72,20,80,34,0,36,37,43,53,55
P0134,14,39,52,5,3,2,2,11,73,82,15,44,59,0,48,45,54,55,59
P0135,20,45,39,6,5,5,1,12,54,80,45,28,49,0,40,35,36,33,36
P0136,8,38,30,0,7,7,1,11,68,66,31,88,64,0,45,45,46,56,59
P0137,16,46,51,1,1,3,1,20,55,61,23,75,60,0,42,57,60,64,73
P0138,1,48,53,6,5,14,0,20,71,68,35,68,77,0,37,31,36,31,44
P0139,9,0,61,4,4,16,1,20,29,73,33,79,71,0,36,38,38,42,45
P0140,11,54,64,8,5,9,0,12,87,75,48,99,45,1,33,31,31,27,33
P0141,25,14,64,1,4,7,2,6,38,73,36,91,57,1,33,32,30,31,32
P0142,6,3,41,9,5,2,2,25,72,67,37,83,67,0,22,17,14,12,5
P0143,7,37,47,1,10,13,2,18,53,83,48,54,80,0,45,34,37,34,33
P0144,11,40,54,13,4,7,0,9,56,58,68,56,100,0,28,29,27,22,21
P0145,25,21,73,0,6,6,0,22,54,100,77,30,79,1,50,39,38,22,11
P0146,22,58,63,2,10,9,1,8,63,79,51,78,50,1,38,43,42,45,40
P0147,1,6,60,8,4,5,0,22,66,51,53,86,65,0,34,35,38,41,51
P0148,6,28,47,13,10,8,1,22,77,71,44,87,70,1,38,35,32,41,35
P0149,21,24,42,7,5,1,0,6,83,80,58,79,58,1,44,24,19,7,6
P0150,2,37,57,8,9,11,0,16,64,63,56,66,75,1,49,43,38,36,39
P0151,22,45,40,6,7,7,0,17,89,46,75,59,28,1,31,33,27,20,9
P0152,8,14,48,2,6,12,1,30,60,52,10,55,76,0,22,33,20,24,25
P0153,23,55,49,4,5,6,0,7,77,76,43,65,59,1,43,41,52,62,53
P0154,8,40,64,1,3,6,0,22,66,42,55,52,65,0,34,16,16,3,0
P0155,11,0,47,1,5,2,0,12,48,46,47,96,92,0,27,23,18,14,14
P0156,17,0,30,8,7,10,0,3,61,76,29,47,46,0,41,35,47,48,51
P0157,4,38,55,2,5,3,0,11,67,65,22,65,72,0,41,37,27,30,30
P0158,14,33,44,7,4,5,1,12,57,58,64,37,80,0,27,32,25,24,21
P0159,13,36,50,1,4,7,0,5,65,61,33,73,70,0,37,39,49,61,71
P0160,20,37,49,7,7,7,1,14,74,46,13,68,40,1,40,36,39,37,38
P0161,25,43,48,4,8,0,0,19,58,75,65,62,90,1,41,39,43,50,49
P0162,17,61,57,12,3,6,0,14,5,56,57,53,63,0,36,48,53,39,48
P0163,11,11,36,7,3,10,0,8,88,60,46,68,58,0,33,35,29,39,32
P0164,11,10,45,11,6,5,0,11,53,73,30,59,62,1,33,33,45,47,48
P0165,11,12,56,3,9,6,1,12,43,64,46,66,61,0,34,30,46,41,62
P0166,21,45,44,6,8,8,2,14,38,57,72,99,47,1,33,35,28,24,20
P0167,9,68,36,2,2,6,0,20,52,38,16,71,70,0,31,35,29,29,33
P0168,5,28,56,4,4,3,0,14,48,74,17,77,57,0,33,34,44,33,40
P0169,9,0,60,5,3,7,0,2,45,69,35,61,78,0,40,34,44,28,31
P0170,1,0,50,3,4,11,1,8,46,60,47,55,76,0,34,32,38,40,51
P0171,3,18,32,1,9,3,1,13,68,52,38,68,95,1,34,42,38,34,41
P0172,3,25,56,0,1,6,2,20,95,68,61,100,63,1,44,42,55,62,80
P0173,20,28,35,0,1,1,2,21,73,75,70,63,53,0,35,40,35,50,44
P0174,19,39,53,2,3,11,0,24,78,69,54,74,42,0,29,34,43,48,54
P0175,18,31,42,9,6,7,0,13,51,93,59,55,100,1,30,30,26,29,11
P0176,12,63,40,0,7,4,0,17,60,79,53,24,78,0,46,36,27,31,30
P0177,18,22,46,1,6,7,1,2,66,66,48,55,55,0,45,39,37,35,23
P0178,5,17,48,13,8,2,1,15,46,79,22,100,96,0,36,36,45,46,50
P0179,23,49,44,3,1,3,0,4,50,69,27,78,90,0,27,30,20,18,10
P0180,13,1,55,7,8,1,1,12,73,69,21,94,44,0,43,40,29,27,25
P0181,24,47,46,9,4,3,2,33,78,87,45,62,54,1,36,19,20,16,11
P0182,4,40,59,9,7,12,1,14,59,55,53,30,65,1,37,51,66,70,91
P0183,13,34,53,0,2,4,1,6,36,68,19,50,49,0,33,31,33,32,30
P0184,18,76,44,5,5,9,0,15,53,86,49,74,65,1,39,46,51,51,55
P0185,13,23,42,0,6,4,3,8,32,73,30,72,79,0,38,42,28,26,23
P0186,12,87,35,16,8,10,1,5,59,62,27,68,44,1,28,34,39,42,51
P0187,5,33,53,0,1,3,2,27,63,42,35,60,72,0,34,30,22,10,6
P0188,10,7,47,2,5,7,0,19,53,34,26,83,87,0,28,27,16,22,18
P0189,6,40,30,2,2,7,0,14,62,99,60,60,74,0,35,30,28,23,17
P0190,8,12,45,0,6,16,0,9,66,73,45,73,66,1,36,42,43,43,33
P0191,18,20,42,11,7,10,0,10,63,59,64,71,56,0,32,31,27,23,22
P0192,16,48,64,16,8,5,0,23,36,73,39,62,81,0,33,38,50,59,54
P0193,16,51,35,4,4,10,1,14,53,54,40,54,47,0,39,38,43,36,52
P0194,10,23,37,1,7,16,0,0,65,63,85,61,71,0,36,36,34,35,29
P0195,24,62,60,0,8,0,1,29,86,54,16,98,67,0,38,40,40,44,49
P0196,3,66,62,5,1,4,0,13,53,47,74,86,86,0,34,39,32,32,40
P0197,9,72,43,5,7,6,2,14,68,36,81,84,57,0,31,30,30,22,20
P0198,3,51,44,3,7,5,0,20,74,44,63,55,59,0,36,41,54,48,56
P0199,9,71,56,7,4,6,0,15,54,83,41,45,46,0,39,25,15,8,0
P0200,25,0,30,8,2,2,3,17,79,53,77,86,74,1,35,40,41,46,52
P0201,10,30,33,7,7,13,0,9,80,76,42,82,60,1,37,36,29,27,29
P0202,23,17,47,5,2,1,0,3,83,82,34,70,52,0,30,32,30,28,20
P0203,13,41,64,2,5,6,2,14,66,68,40,62,54,0,33,41,55,62,72
P0204,18,24,46,9,5,11,1,22,100,64,37,45,76,1,40,39,41,40,32
P0205,12,34,51,6,7,7,1,7,47,70,29,82,48,0,49,49,60,53,55
P0206,7,83,60,10,3,3,1,7,96,62,70,87,50,1,41,41,38,46,43
P0207,20,34,69,9,3,2,1,21,72,86,33,57,82,0,44,42,49,48,43
P0208,25,48,45,0,5,6,0,9,82,96,47,56,64,0,36,46,40,42,39
P0209,7,32,50,0,8,4,3,9,52,90,19,88,83,0,29,32,30,29,27
P0210,20,40,66,3,11,8,1,9,73,36,49,58,61,1,31,36,38,45,52
P0211,7,38,36,2,1,1,1,12,84,61,25,96,67,0,39,37,44,43,50
P0212,18,49,59,9,6,10,1,1,38,68,24,66,70,0,43,44,46,36,33
P0213,20,66,41,7,2,7,0,8,55,75,46,62,91,0,38,29,24,16,19
P0214,12,78,51,10,8,8,0,14,19,42,69,69,89,0,32,34,27,33,21
P0215,19,45,48,8,3,13,0,14,55,42,57,62,87,1,38,36,44,45,51
P0216,7,52,41,7,3,5,0,20,43,88,58,86,56,0,32,48,43,50,56
P0217,2,10,41,11,4,4,0,25,54,60,45,82,50,0,34,39,38,42,38
P0218,3,36,52,8,5,5,1,23,100,46,41,85,80,1,41,32,24,20,9
P0219,12,61,59,6,6,6,0,18,89,51,64,71,90,1,35,42,42,51,48
P0220,23,59,49,12,6,7,4,11,32,74,37,61,87,1,37,39,31,54,49
P0221,4,43,51,6,5,4,2,8,68,56,65,68,67,1,33,27,30,29,32
P0222,12,59,55,5,2,0,4,12,72,72,73,61,79,0,42,61,58,68,82
P0223,18,50,41,3,7,5,0,16,52,53,31,91,80,0,40,31,25,30,17
P0224,6,67,57,9,5,8,2,18,61,42,34,84,70,1,54,45,50,62,58
P0225,19,45,57,11,8,8,3,16,63,89,37,67,70,1,41,35,34,31,23
P0226,8,29,73,6,3,12,1,11,34,74,19,53,69,0,40,39,43,54,51
P0227,21,46,47,11,1,15,1,18,39,63,39,93,54,0,29,43,45,47,50
P0228,15,0,46,0,5,10,1,21,61,60,74,70,55,0,37,36,53,51,64
P0229,14,47,57,6,8,13,0,18,60,90,27,66,55,0,39,37,40,43,37
P0230,5,0,57,6,5,10,2,12,45,77,75,93,40,0,27,31,27,33,31
P0231,12,0,45,3,5,14,1,6,44,85,39,60,69,0,26,33,26,27,26
P0232,22,49,46,16,3,14,0,6,56,59,90,63,66,0,36,36,31,31,32
P0233,1,49,55,6,9,11,0,7,74,69,34,64,80,1,41,47,32,43,23
P0234,19,10,43,4,2,10,2,14,57,74,45,47,88,0,32,35,46,45,49
P0235,13,21,46,6,3,6,2,16,87,60,30,73,90,0,30,33,41,47,52
P0236,18,71,51,0,6,7,1,2,45,67,34,56,91,0,39,36,24,22,16
P0237,17,26,59,3,1,6,0,8,61,59,75,59,54,0,31,26,24,34,33
P0238,11,92,45,10,8,9,0,14,52,74,57,57,43,0,38,30,36,40,41
P0239,8,38,33,3,7,4,1,6,69,48,69,59,83,1,44,42,32,37,29
P0240,16,48,33,3,7,6,0,15,44,77,22,55,90,0,38,39,39,47,48
P0241,4,77,39,11,6,0,2,10,93,73,61,72,93,0,31,42,35,48,56
P0242,15,41,38,11,5,14,0,7,28,65,29,66,75,0,44,39,44,51,53
P0243,3,14,49,8,2,6,0,12,89,75,21,69,33,1,43,51,50,62,66
P0244,17,35,39,4,5,9,0,15,60,63,53,100,73,0,37,35,29,26,22
P0245,16,37,44,5,3,13,2,6,68,58,53,66,76,0,35,35,34,30,31
P0246,3,5,43,3,6,8,1,10,82,76,49,78,88,1,41,37,33,26,27
P0247,19,32,46,2,7,13,0,15,73,77,62,79,91,1,27,37,43,34,41
P0248,11,20,62,2,9,2,0,7,45,60,65,67,82,1,29,26,29,31,37
P0249,20,60,56,4,6,17,1,0,69,59,77,72,57,0,46,41,43,48,58
P0250,2,39,50,2,7,11,1,1,92,65,24,68,50,0,39,44,41,58,58
P0251,5,31,46,0,4,8,1,9,42,60,78,71,76,0,24,25,27,31,34
P0252,13,35,46,7,4,13,0,3,96,91,86,59,54,1,37,30,27,34,24
P0253,5,43,53,7,6,2,2,10,65,73,41,60,92,1,47,41,38,24,24
P0254,9,53,55,13,4,6,1,24,50,68,15,68,38,0,27,33,31,32,29
P0255,17,14,42,3,6,13,2,2,42,54,20,36,77,0,39,44,50,52,58
P0256,4,13,50,7,2,0,1,10,54,79,39,92,72,0,30,36,40,37,45
P0257,17,65,32,7,3,9,0,27,23,59,88,100,63,1,42,41,28,30,14
P0258,3,28,52,5,7,9,2,15,51,58,48,71,51,0,38,52,55,63,74
P0259,5,4,57,9,7,15,2,9,53,80,36,79,32,0,38,33,40,41,40
P0260,15,49,47,9,3,1,0,11,39,74,34,85,58,0,34,27,37,30,40
P0261,20,49,66,7,7,13,0,15,71,30,22,47,58,0,45,47,40,37,25
P0262,5,1,42,5,4,5,0,24,54,66,65,83,86,0,22,27,34,25,33
P0263,8,44,52,5,5,5,0,8,47,70,46,61,54,0,30,32,43,44,43
P0264,24,56,50,1,9,2,0,7,52,63,90,100,75,0,40,36,44,49,40
P0265,25,47,49,3,7,3,0,2,64,70,61,65,45,0,34,39,32,28,25
P0266,15,53,49,4,7,9,0,13,59,41,65,83,75,0,41,45,43,37,46
P0267,12,4,51,2,10,3,0,2,45,26,43,65,29,0,29,25,28,22,18
P0268,9,46,58,8,3,10,2,9,60,53,26,100,100,1,37,33,42,52,54
P0269,16,31,62,11,3,4,1,6,57,72,31,60,65,0,42,35,43,45,44
P0270,15,26,50,2,3,2,0,20,37,20,21,87,19,0,42,37,30,32,22
P0271,8,59,57,7,4,5,1,8,53,55,66,78,55,0,36,26,14,7,14
P0272,1,74,44,2,1,8,0,15,68,39,40,74,52,1,45,35,43,46,46
P0273,4,81,57,5,4,6,0,1,68,64,67,72,56,1,48,39,31,39,30
P0274,24,70,43,3,4,7,1,13,54,97,51,57,61,0,27,24,21,24,22
P0275,11,35,60,8,7,10,0,4,70,65,42,27,56,0,29,32,29,20,15
P0276,13,46,70,3,6,11,0,9,40,66,25,85,53,0,44,33,32,27,22
P0277,12,56,49,10,3,6,0,27,41,81,54,60,47,0,32,33,36,43,33
P0278,20,41,30,5,6,3,1,19,53,68,44,87,81,0,27,33,17,29,29
P0279,2,41,45,3,7,7,2,11,85,65,66,74,87,1,33,48,59,66,72
P0280,3,58,61,1,3,9,1,34,61,82,34,87,63,0,32,33,40,41,45
P0281,7,37,55,7,4,1,0,6,53,75,60,81,67,1,33,39,34,27,18
P0282,13,20,52,10,1,3,0,20,86,72,81,29,48,1,33,35,28,20,9
P0283,17,28,59,7,2,4,1,1,53,66,53,78,68,1,31,40,36,31,40
P0284,13,53,54,15,3,6,1,10,98,63,64,63,71,1,37,43,37,39,35
P0285,12,38,61,12,5,4,0,3,49,82,59,87,63,1,38,38,40,54,56
P0286,24,46,58,5,3,10,1,14,40,63,86,77,74,0,37,31,36,44,38
P0287,5,54,64,5,4,1,0,12,55,86,55,78,72,0,38,29,22,16,5
P0288,15,29,53,8,2,1,3,10,54,52,62,64,49,1,50,45,41,35,33
P0289,14,56,58,3,5,6,0,20,43,90,47,53,87,1,33,32,32,27,28
P0290,12,47,47,11,6,6,0,8,100,75,33,61,63,1,40,26,34,46,44
P0291,21,8,45,7,6,1,1,14,64,53,24,39,95,1,34,31,17,23,13
P0292,7,73,65,7,5,5,0,18,66,76,73,59,74,1,32,31,33,41,31
P0293,24,26,52,9,1,5,0,2,50,58,28,45,100,0,26,30,18,14,5
P0294,9,0,57,13,3,5,2,7,48,69,63,45,87,0,39,44,38,35,39
P0295,14,13,51,7,4,8,0,12,76,61,56,70,71,0,34,40,37,42,48
P0296,14,13,45,6,4,4,1,16,28,66,66,77,55,0,38,44,53,51,57
P0297,22,39,50,12,5,13,0,22,37,82,38,67,55,0,33,34,31,30,38
P0298,11,31,63,10,9,9,0,10,54,76,32,60,76,1,29,33,34,26,20
P0299,8,30,55,5,7,4,1,10,82,51,56,53,69,1,33,38,46,51,58
P0300,1,53,35,6,3,7,2,6,51,52,42,63,57,0,33,29,27,31,33
P0301,10,46,48,7,7,7,1,14,65,72,23,55,81,0,29,28,43,39,31
P0302,21,46,66,7,7,12,0,10,58,73,87,67,68,1,44,47,39,30,38
P0303,1,48,48,1,3,5,1,10,81,58,32,44,81,0,42,47,46,44,47
P0304,23,53,34,0,7,10,0,11,29,92,28,79,50,0,24,22,15,11,7
P0305,14,0,67,2,5,7,1,16,71,80,43,59,84,0,33,38,40,40,39
P0306,4,29,56,2,1,13,0,8,54,59,73,74,76,0,31,42,43,39,48
P0307,8,0,49,3,6,12,0,7,75,57,5,82,87,0,37,29,27,25,24
P0308,14,39,47,9,6,8,1,15,43,65,71,73,84,0,35,30,26,23,19
P0309,8,38,60,5,4,6,2,0,58,63,30,81,66,0,43,44,44,49,43
P0310,3,63,45,7,5,9,0,8,56,87,53,35,64,1,38,40,34,30,21
P0311,17,67,60,1,3,6,1,4,40,83,34,60,97,0,32,44,30,25,21
P0312,17,43,55,4,7,14,0,20,35,69,88,86,62,0,36,33,34,34,36
P0313,3,26,52,8,5,7,0,9,48,78,50,76,80,0,20,24,24,26,35
P0314,8,50,51,8,5,5,0,8,60,80,34,98,61,0,38,30,32,36,35
P0315,7,25,48,3,6,5,2,12,44,69,42,95,35,0,38,28,29,35,40
P0316,17,38,59,7,2,2,1,8,52,74,50,73,46,0,41,40,48,46,47
P0317,19,62,42,15,3,9,2,9,24,77,52,64,74,0,26,13,21,17,22
P0318,19,25,35,6,1,4,1,13,51,75,57,53,79,0,34,25,23,16,15
P0319,24,57,56,3,6,11,1,9,76,56,48,60,74,1,35,34,30,30,21
P0320,20,54,56,5,2,2,0,9,71,58,20,61,86,0,43,36,38,45,41
P0321,9,15,54,6,5,8,1,5,56,64,41,59,74,0,32,35,37,34,39
P0322,3,61,54,5,6,12,0,4,62,57,60,53,54,1,35,30,31,25,32
P0323,16,55,47,6,7,0,0,12,43,46,35,74,77,0,37,40,34,33,21
P0324,23,40,57,0,2,15,0,14,87,78,61,95,70,0,46,43,42,46,50
P0325,25,20,50,2,5,5,2,2,95,73,49,83,57,1,33,34,33,27,34
P0326,6,17,46,5,9,8,3,17,61,48,44,63,75,0,47,40,56,42,55
P0327,6,25,47,5,9,9,1,17,100,64,72,84,68,0,46,43,51,48,53
